epoch,train_loss,val_dice,val_iou,val_bbox_iou,val_bbox_acc05,val_cls_acc,lr_enc,lr_seg,lr_cls
60,0.030866811141371728,0.8955075591802597,0.8453167150417964,0.7613862052426834,0.8016666666666666,0.855,0.001,0.001,0.001
61,0.046965635985136034,0.8901125490665436,0.8370222076773643,0.722318913480927,0.7466666666666667,0.8283333333333334,0.001,0.001,0.001
62,0.03928204396367073,0.8872760544220607,0.8342640325427055,0.7401509145103563,0.7766666666666666,0.8383333333333334,0.001,0.001,0.001
63,0.06375581958144903,0.9112975716590881,0.8588161617517471,0.7437375143275791,0.775,0.825,0.001,0.001,0.001
64,0.049782363466918465,0.9202900399764379,0.8775537937879563,0.804186738828093,0.8583333333333333,0.8566666666666667,0.001,0.001,0.001
65,0.03514731929451227,0.9287048647801082,0.885776420434316,0.7887616084405384,0.835,0.865,0.001,0.001,0.001
66,0.02731248291954398,0.9128278285264969,0.8658515006303787,0.7539094765858007,0.785,0.86,0.001,0.001,0.001
67,0.02507412479445338,0.911136676867803,0.8644032378991445,0.7423744776629801,0.7683333333333333,0.8716666666666667,0.001,0.001,0.001
68,0.025440132871270178,0.917417456706365,0.8748374621073405,0.7794938728014774,0.8166666666666667,0.8733333333333333,0.001,0.001,0.001
69,0.03867791562899947,0.870586758852005,0.8083809385697047,0.6566743044190998,0.6683333333333333,0.7366666666666667,0.001,0.001,0.001
70,0.11263081914186478,0.8852115581432979,0.8367914706468582,0.7480751191327689,0.7883333333333333,0.84,0.001,0.001,0.001
71,0.04337397260218859,0.8811484783887863,0.8217671523491542,0.6870393544467451,0.705,0.7633333333333333,0.001,0.001,0.001
72,0.05785439408570528,0.8970981409152349,0.8472130060195923,0.756487616891196,0.7983333333333333,0.8433333333333334,0.001,0.001,0.001
73,0.03208152819424868,0.8936141560475032,0.8441837271054585,0.7555410477032253,0.7966666666666666,0.8283333333333334,0.001,0.001,0.001
74,0.026572563737630846,0.8921387960513433,0.8399168943365415,0.7227783416224062,0.7433333333333333,0.8483333333333334,0.001,0.001,0.001
75,0.02458500934392214,0.9038663993279139,0.8554517572124799,0.7703067158643483,0.7983333333333333,0.86,0.001,0.001,0.001
76,0.023004143316298725,0.9092877785364787,0.8610350718100865,0.7677550233520939,0.81,0.8516666666666667,0.001,0.001,0.001
77,0.022432069960981606,0.9066693007946014,0.8577793329954148,0.7577441762315357,0.795,0.8516666666666667,0.001,0.001,0.001
78,0.02447736541554332,0.9238205164670944,0.8772130260864893,0.7703357677579736,0.8033333333333333,0.8616666666666667,0.001,0.001,0.001
79,0.11875669552385806,0.8960753828287125,0.8449905281265576,0.7223111400803238,0.7533333333333333,0.81,0.001,0.001,0.001
80,0.03486162165924907,0.9118429472049078,0.8690419912338256,0.786187486861228,0.83,0.8583333333333333,0.001,0.001,0.001
81,0.02550200080499053,0.9194556444883346,0.8728734135627747,0.7292716044868655,0.7483333333333333,0.855,0.001,0.001,0.001
82,0.024516433726996183,0.9281909475723903,0.8850445528825124,0.7740883090572404,0.8216666666666667,0.8666666666666667,0.001,0.001,0.001
83,0.025755350437015295,0.9028080592552821,0.8489499549070995,0.7167344223342093,0.7366666666666667,0.7333333333333333,0.001,0.001,0.001
84,0.08991574646532535,0.8929147015015284,0.842453746497631,0.72662884585704,0.745,0.82,0.001,0.001,0.001
85,0.04669852551445365,0.9053098171949386,0.858912181854248,0.715601222882323,0.735,0.815,0.001,0.001,0.001
86,0.0445742984265089,0.9110800991455714,0.8646929572025935,0.7424217694095524,0.7716666666666666,0.8516666666666667,0.001,0.001,0.001
87,0.03209920771420002,0.905525553226471,0.8568470219771067,0.7426743861449052,0.7666666666666667,0.8566666666666667,0.001,0.001,0.001
88,0.030748369336128234,0.9083113978306453,0.8604823619127273,0.7253382425970568,0.7366666666666667,0.8466666666666667,0.001,0.001,0.001
89,0.03391810010001063,0.9029215117295583,0.8529159973065058,0.7353149143700056,0.7466666666666667,0.8483333333333334,0.001,0.001,0.001
90,0.029831695109605788,0.9063610970973969,0.8607425053914388,0.769737898742643,0.81,0.8316666666666667,0.001,0.001,0.001
91,0.05191542338207364,0.9079079995552699,0.8589854071537654,0.7506482707513616,0.81,0.8233333333333334,0.001,0.001,0.001
92,0.03273269729316235,0.9173349777857462,0.8727162450551986,0.7477383329431961,0.7766666666666666,0.84,0.001,0.001,0.001
93,0.0362529197782278,0.8851164946953456,0.8265274787942568,0.7241650366330625,0.7483333333333333,0.815,0.001,0.001,0.001
94,0.0440753778591752,0.909591739376386,0.8585957457621892,0.7695919810867115,0.8033333333333333,0.8066666666666666,0.001,0.001,0.001
95,0.043394731897860764,0.9174873510996501,0.870110289255778,0.7654977363213966,0.7983333333333333,0.8433333333333334,0.001,0.001,0.001
96,0.03373117849975824,0.8784303853909174,0.8210200940569242,0.6075152049857386,0.5933333333333334,0.75,0.001,0.001,0.001
97,0.04181949124485254,0.9009124706188838,0.8479346990585327,0.7457623419297781,0.78,0.8316666666666667,0.001,0.001,0.001
98,0.02682875920087099,0.9098457356293996,0.8623557309309642,0.7757315060514665,0.8116666666666666,0.86,0.001,0.001,0.001
99,0.02272967718169093,0.9075526187817256,0.8646411220232646,0.7446471053666126,0.7666666666666667,0.855,0.001,0.001,0.001
100,0.032886009015142915,0.8851609975099564,0.8294336761037508,0.6693959879343871,0.67,0.7666666666666667,0.001,0.001,0.001
